ESC signal (µs),Torque (N·m),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Electrical Power (W),Motor Efficiency (%)
1194,0.008303329,16.63,13.43315316,0.499989024,1933,9.09,25.02629521
1281,0.011869826,35.98,13.43406673,0.70544381,2312,12.71,30.32312174
1881,0.030736149,51.45,13.35586598,2.045874176,4040,30,47.59036247
1929,0.033034288,90.23,13.34689848,2.232277936,4121,41.35,47.84929365
2176,0.041003015,101.67,13.33682403,3.002200793,4588,44.15,49.19918327
2226,0.043133325,137.34,13.33756538,3.070599523,4582,50.23,50.53687512
2277,0.043901673,190.56,13.29505177,3.227065225,4625,54.37,49.55675048
2327,0.044382143,240.33,13.26612849,3.352186099,4730,61.59,49.4346706
2376,0.047313331,290.56,13.23830869,3.498174464,4766,69.76,50.98741004
2427,0.047789113,339.56,13.26203151,3.711820588,4830,72.45,49.10360327
2478,0.050008051,380.97,13.28093041,3.89659955,4984,77.33,50.43240253
2530,0.052642884,410.45,13.23681271,4.033017142,5028,82.78,51.92695422
2579,0.053556005,490.22,13.26504488,4.246919646,5239,97.45,52.15307303
